Magnitude,Location,Longitude,Latitude
1.14,"13 km N of Castaic, CA",-118.6313333,34.6055
1.17,"24 km NW of Grapevine, CA",-119.1168333,35.097
1.77,"6 km SSW of Volcano, Hawaii",-155.249496459961,19.386999130249
1.41,"24 km NW of Grapevine, CA",-119.107,35.1065
0.97,"20 km ESE of Mayfield, Utah",-111.484166666667,39.0748333333333
1.94,"6 km S of Volcano, Hawaii",-155.244171142578,19.3853340148926
2.1,"38 km NNW of Toyah, Texas",-103.995,31.614
3.8,"33 km SSE of La Tirana, Chile",-69.5465,-20.6196
2.1,"21 km NW of Grapevine, CA",-119.0911667,35.0776667
1.58,"23 km NW of Grapevine, CA",-119.1006667,35.0963333
1.8,"7 km N of Skwentna, Alaska",-151.3806,62.0555
1.54,"25 km SW of Lamont, CA",-119.123,35.1118333
1.37,"15 km NW of Coso Junction, CA",-118.0511667,36.151
1.36,"21 km SE of Ocotillo, CA",-115.8655,32.575
1.33,"22 km E of Maricopa, CA",-119.1643333,35.0438333
2.49,"6 km E of La Parguera, Puerto Rico",-66.9848333333333,17.9645
0.68,"15 km NE of Milford, Utah",-112.899,38.501
1.9,"46 km ESE of Pope-Vannoy Landing, Alaska",-153.8121,59.3316
1.78,"25 km NW of Grapevine, CA",-119.1201667,35.1053333
2.94,"24 km NW of Grapevine, CA",-119.1123333,35.0996667
1.74000001,"7 km NNE of Pāhala, Hawaii",-155.453506469727,19.2643337249756
0.91,"8 km WNW of Cobb, CA",-122.82,38.84
1.59,"25 km NW of Grapevine, CA",-119.1186667,35.1035
0.92,"25 km NW of Grapevine, CA",-119.1203333,35.1053333
0.07,"15 km NE of Milford, Utah",-112.901,38.5015
1.08,"14 km NE of Milford, Utah",-112.899,38.4986666666667
0.32,"14 km NE of Milford, Utah",-112.903666666667,38.4986666666667
2.8,"38 km NNW of Toyah, Texas",-103.993,31.613
2.9,"38 km NNW of Toyah, Texas",-103.996,31.613
1.5,"22 km NW of Grapevine, CA",-119.0628333,35.1046667
5.0,"247 km WNW of Houma, Tonga",-177.5638,-20.48
1.5,"24 km NW of Grapevine, CA",-119.1116667,35.101
0.6,"23 km W of Dutch Harbor, Alaska",-166.9027,53.8619
1.5,"16 km NNE of Hermleigh, Texas",-100.681,32.773
1.49,"22 km NW of Grapevine, CA",-119.0866667,35.0976667
-0.53,"26 km WSW of Dutch Harbor, Alaska",-166.940333333333,53.8408333333333
1.48,"24 km SW of Lamont, CA",-119.1113333,35.1111667
1.33,"21 km NW of Grapevine, CA",-119.0776667,35.0923333
2.0,"17 km WNW of Old Harbor, Alaska",-153.5862,57.2467
1.6500000000000001,"12 km E of Wilkeson, Washington",-121.87866666666666,47.09466666666667
0.93,"58 km W of Adak, Alaska",-177.475333333333,51.7855
1.28,"21 km NW of Grapevine, CA",-119.0935,35.0783333
1.17,"21 km NW of Grapevine, CA",-119.0748333,35.0928333
3.6,"49 km ESE of Punta Cana, Dominican Republic",-67.9791,18.397
2.17,"6 km S of Volcano, Hawaii",-155.241166666667,19.3875
0.88,"59 km W of Adak, Alaska",-177.476166666667,51.7761666666667
2.6,"34 km WSW of Ackerly, Texas",-102.053,32.403
1.7,"16 km NNE of Hermleigh, Texas",-100.683,32.773
1.8,"17 km NNE of Hermleigh, Texas",-100.686,32.781
1.04,"9 km NW of The Geysers, CA",-122.84,38.82
1.32,"25 km SW of Lamont, CA",-119.1181667,35.1113333
1.57,"36 km S of False Pass, Alaska",-163.511166666667,54.5358333333333
1.32,"10 km ENE of Villa Park, CA",-117.708,33.8446667
1.21,"22 km SW of Lamont, CA",-119.0841667,35.1176667
2.29,"15 km SW of Leilani Estates, Hawaii",-155.010333333333,19.3568333333333
2.26,"7 km S of Volcano, Hawaii",-155.244171142578,19.3776664733887
1.32,"22 km NW of Grapevine, CA",-119.0698333,35.1033333
1.52,"21 km NW of Grapevine, CA",-119.0698333,35.0971667
1.41,"21 km NW of Grapevine, CA",-119.067,35.0968333
1.98,"22 km NW of Grapevine, CA",-119.0713333,35.099
1.97,"22 km SW of Lamont, CA",-119.0816667,35.1176667
0.42,"25 km ENE of Ashford, Washington",-121.72916666666667,46.861
0.78,"14 km NE of Milford, Utah",-112.899,38.497
1.86,"21 km NW of Grapevine, CA",-119.07,35.0945
2.94,"23 km NW of Grapevine, CA",-119.1133333,35.0896667
0.8200000000000001,"5 km N of Government Camp, Oregon",-121.7485,45.354166666666664
2.19,"22 km SW of Lamont, CA",-119.0871667,35.117
2.99,"21 km NW of Grapevine, CA",-119.0920029,35.0756683
2.08,"2 km SW of Alamo, CA",-122.05,37.84
1.1,"14 km SW of Thatcher, Utah",-112.4005,41.589
3.14,"21 km NW of Grapevine, CA",-119.0736667,35.0945
4.44,"22 km NW of Grapevine, CA",-119.0726667,35.102
0.15,"34 km NNE of Amboy, Washington",-122.30133333333333,46.206833333333336
1.3,"9 km NW of Indian Springs, Nevada",-115.7328,36.6374
0.69,"4 km SSW of Cabazon, CA",-116.8051667,33.8888333
1.02,"14 km NE of Milford, Utah",-112.900833333333,38.4961666666667
0.95,"4 km SSW of Cabazon, CA",-116.8083333,33.8893333
1.47,"2 km E of Pleasant Hill, CA",-122.04,37.95
1.57,"23 km NW of Grapevine, CA",-119.114,35.0888333
1.74,"21 km NW of Grapevine, CA",-119.0613333,35.0981667
5.1,"67 km WSW of Atocha, Bolivia",-66.8096,-21.1988
2.34,"22 km NW of Grapevine, CA",-119.0983333,35.0868333
3.21,"22 km NW of Grapevine, CA",-119.0756667,35.0996667
1.05,"58 km W of Adak, Alaska",-177.4755,51.779
1.16,"19 km NW of Grapevine, CA",-119.061,35.0806667
0.27,"39 km SSE of Morton, Washington",-122.15516666666667,46.209666666666664
0.34,"39 km NE of Adak, Alaska",-176.165333333333,52.0731666666667
4.5,"31 km SSE of Jurm, Afghanistan",70.919,36.5915
2.0,"24 km ENE of Maricopa, CA",-119.1401667,35.113
1.76,"9 km SW of Anza, CA",-116.7526667,33.5041667
1.1,"5 km N of Yucca Valley, CA",-116.4355,34.1581667
0.99,"5 km N of Yucca Valley, CA",-116.4358333,34.1575
1.11,"22 km NW of Grapevine, CA",-119.0921667,35.0951667
1.71,"21 km NW of Grapevine, CA",-119.087,35.0808333
0.94,"9 km NW of The Geysers, CA",-122.84,38.82
0.8,"5 km S of Salcha, Alaska",-146.907,64.4761
1.48,"7 km WNW of Cobb, CA",-122.81,38.83
1.97,"22 km NW of Grapevine, CA",-119.0613333,35.1035
3.12,"21 km NW of Grapevine, CA",-119.0611667,35.094
1.0,"46 km ESE of Knik River, Alaska",-148.0659,61.3688
1.26,"9 km SW of Waynoka, Oklahoma",-98.96516667,36.529
1.33,"24 km NW of Grapevine, CA",-119.1031667,35.101
1.47,"22 km NW of Grapevine, CA",-119.0983333,35.0821667
1.1,"5 km WNW of Cobb, CA",-122.78,38.83
1.51,"25 km SW of Lamont, CA",-119.1313333,35.1165
1.36,"9 km W of Palomar Observatory, CA",-116.9645,33.3675
0.53,"32 km N of Ivanof Bay, Alaska",-159.409333333333,56.1871666666667
1.3,"55 km E of Cantwell, Alaska",-147.8457,63.3753
2.1,"24 km ENE of Maricopa, CA",-119.1455,35.1051667
0.32,"4 km NNW of The Geysers, CA",-122.78,38.81
2.14,"25 km SW of Lamont, CA",-119.1183333,35.1086667
3.78,"25 km NW of Grapevine, CA",-119.1181667,35.1018333
1.55,"20 km NW of Grapevine, CA",-119.0785,35.0713333
1.57,"23 km NW of Grapevine, CA",-119.1035,35.0891667
1.8,"20 km SSE of Lindsay, Texas",-103.485,31.191
1.61,"23 km NW of Grapevine, CA",-119.1063333,35.0891667
2.1,"25 km ENE of Susitna North, Alaska",-149.4203,62.2708
1.44,"25 km ENE of Maricopa, CA",-119.1285,35.1031667
2.21,"22 km SW of Lamont, CA",-119.085,35.1128333
1.06,"3 km WNW of Cobb, CA",-122.76,38.82
1.36,"20 km NW of Grapevine, CA",-119.0653333,35.0805
2.89,"6 km S of Volcano, Hawaii",-155.243166666667,19.3881666666667
2.2,"24 km ENE of Cantwell, Alaska",-148.4874,63.4651
0.92,"9 km W of Palomar Observatory, CA",-116.9608333,33.3655
2.51,"5 km SSW of Volcano, Hawaii",-155.250833333333,19.3936666666667
2.79,"5 km SSW of Volcano, Hawaii",-155.2495,19.391
1.04,"6 km SSW of Volcano, Hawaii",-155.256833333333,19.3925
1.62,"15 km NW of Coso Junction, CA",-118.0543333,36.1495
3.15,"25 km E of Maricopa, CA",-119.131,35.0975
1.3,"24 km NW of Grapevine, CA",-119.121,35.0896667
1.74,"24 km ENE of Maricopa, CA",-119.1448333,35.102
1.5,"4 km W of Trapper Creek, Alaska",-150.3212,62.3221
2.39,"5 km SW of Volcano, Hawaii",-155.264,19.4001666666667
1.59,"15 km SSW of Olancha, CA",-118.0541667,36.1526667
1.4,"20 km NW of Grapevine, CA",-119.0576667,35.0896667
1.45,"23 km SW of Lamont, CA",-119.0941667,35.1096667
1.63,"20 km NW of Grapevine, CA",-119.0498333,35.0883333
1.5,"52 km WNW of Ninilchik, Alaska",-152.5054,60.2768
1.8,"68 km W of Karluk, Alaska",-155.5786,57.4653
1.33,"2 km SE of Home Gardens, CA",-117.5078354,33.8628349
1.72,"20 km NW of Grapevine, CA",-119.081,35.0801667
1.6,"53 km SSE of Denali National Park, Alaska",-151.3498,63.0868
1.27,"22 km SW of Lamont, CA",-119.084,35.1181667
2.19,"22 km SW of Lamont, CA",-119.0793333,35.1145
2.84,"43 km NNE of Vieques, Puerto Rico",-65.6095,18.7516666666667
1.94,"22 km NW of Grapevine, CA",-119.0913333,35.0916667
1.86,"22 km NW of Grapevine, CA",-119.1005,35.0798333
1.99,"22 km NW of Grapevine, CA",-119.1015,35.0851667
2.7,"21 km NW of Grapevine, CA",-119.0845,35.0831667
1.58,"21 km NW of Grapevine, CA",-119.0951667,35.0758333
0.72,"7 km WNW of Cobb, CA",-122.8,38.84
1.57,"20 km NW of Grapevine, CA",-119.0806656,35.0719986
2.1,"20 km N of Four Mile Road, Alaska",-149.2001,64.7862
0.06,"27 km W of Dutch Harbor, Alaska",-166.965,53.8735
-0.51,"7 km WSW of Dutch Harbor, Alaska",-166.650666666667,53.8726666666667
1.87,"5 km SSW of Volcano, Hawaii",-155.245666503906,19.3921661376953
0.1,"52 km ESE of Beatty, Nevada",-116.2691,36.6546
1.52,"24 km SW of Lamont, CA",-119.114,35.1146667
2.12,"22 km E of Maricopa, CA",-119.1571667,35.0916667
1.71,"6 km S of Volcano, Hawaii",-155.241165161133,19.3846664428711
3.0,"54 km SSE of Ivanof Bay, Alaska",-159.2898,55.4255
0.8,"32 km SW of Empire, Nevada",-119.6125,40.3644
1.02,"18 km ESE of Julian, CA",-116.4256667,33.0188333
1.6,"13 km NNW of Avenal, CA",-120.21,36.1
1.44,"21 km NW of Grapevine, CA",-119.0893333,35.0825
0.04,"38 km S of Morton, Washington",-122.18433333333333,46.2135
1.44,"23 km E of Maricopa, CA",-119.1495,35.0931667
2.3900001,"3 km SSW of Pāhala, Hawaii",-155.496826171875,19.171667098999
1.75,"24 km E of Maricopa, CA",-119.1461667,35.0926667
1.55,"24 km ENE of Maricopa, CA",-119.1396667,35.1101667
0.67,"14 km NE of Milford, Utah",-112.898833333333,38.4945
1.72,"24 km E of Maricopa, CA",-119.138,35.093
1.88,"6 km SSW of Volcano, Hawaii",-155.251998901367,19.3871669769287
1.6,"53 km NW of Toyah, Texas",-104.178,31.661
1.71,"24 km E of Maricopa, CA",-119.1423333,35.0798333
0.12,"38 km NNE of Amboy, Washington",-122.193,46.2055
1.39,"7 km NE of Coso Junction, CA",-117.8893333,36.0895
1.48,"21 km NW of Grapevine, CA",-119.08,35.084
1.55,"24 km NW of Grapevine, CA",-119.1113333,35.1035
3.24,"24 km NW of Grapevine, CA",-119.1113333,35.096
2.85,"23 km NW of Grapevine, CA",-119.1113333,35.0853333
4.1,"17 km SW of Pýrgos, Greece",25.0166,34.8916
1.51,"22 km NW of Grapevine, CA",-119.0928333,35.089
1.74,"14 km SSW of Dover, Idaho",-116.65383333333334,48.12116666666667
1.52,"16 km ESE of Seven Trees, CA",-121.66,37.28
2.03,"19 km ESE of Naalehu, Hawaii",-155.421333333333,18.9775
1.47,"22 km NW of Grapevine, CA",-119.079,35.0935
2.33,"22 km NW of Grapevine, CA",-119.0983333,35.0793333
-0.8,"22 km W of Sitka, Alaska",-135.7075,57.0705
1.5,"25 km SW of Lamont, CA",-119.126,35.1106667
1.88,"6 km SSW of Volcano, Hawaii",-155.248504638672,19.386833190918
1.75,"6 km S of Volcano, Hawaii",-155.241500854492,19.382833480835
1.84,"4 km SE of Home Gardens, CA",-117.4935,33.8496667
1.86,"6 km SSW of Volcano, Hawaii",-155.251998901367,19.3863334655762
2.36,"6 km SSW of Volcano, Hawaii",-155.246333333333,19.386
1.03,"10 km N of Borrego Springs, CA",-116.3646667,33.3498333
0.63,"9 km WNW of Cobb, CA",-122.83,38.84
2.03,"20 km NW of Grapevine, CA",-119.0838333,35.0771667
1.6,"25 km NW of Grapevine, CA",-119.1195,35.1005
1.13,"11 km ESE of Olancha, CA",-117.8975,36.2271667
1.46,"24 km NW of Grapevine, CA",-119.117,35.0976667
0.75,"4 km NNW of The Geysers, CA",-122.78,38.8
1.8,"9 km E of Coahoma, Texas",-101.201,32.305
3.15,"23 km NW of Grapevine, CA",-119.114,35.0905
2.14,"6 km WNW of Borrego Springs, CA",-116.4356667,33.2673333
0.68,"18 km ESE of Little Lake, CA",-117.7241667,35.8725
0.78,"7 km NW of The Geysers, CA",-122.82,38.8
1.58,"22 km ENE of Maricopa, CA",-119.1806667,35.1311667
1.53,"24 km NW of Grapevine, CA",-119.1128311,35.0986671
0.6,"36 km ENE of Herlong, California",-119.7384,40.2568
0.92,"18 km ESE of Little Lake, CA",-117.7235,35.872
1.7,"55 km WNW of Happy Valley, Alaska",-152.685,60.0849
1.83,"23 km NW of Grapevine, CA",-119.1006667,35.0938333
0.6,"27 km SSW of Empire, Nevada",-119.4739,40.3506
-0.57,"27 km W of Sitka, Alaska",-135.789333333333,57.047
1.4,"21 km NW of Grapevine, CA",-119.0885,35.0763333
1.72000003,"7 km SSW of Volcano, Hawaii",-155.260665893555,19.3811664581299
2.0,"9 km N of Airway Heights, Washington",-117.6135,47.7305
1.51,"21 km NW of Grapevine, CA",-119.0963333,35.0715
1.49,"21 km NW of Grapevine, CA",-119.0865,35.081
4.3,"27 km NNW of La Serena, Chile",-71.3543,-29.6757
2.7,"139 km SSE of Sand Point, Alaska",-159.7854,54.1529
1.98000002,"12 km S of Volcano, Hawaii",-155.239166259766,19.3295001983643
2.19,"25 km NW of Grapevine, CA",-119.124,35.1036667
1.37,"7 km WSW of Lake Shore, Washington",-122.77633333333333,45.665
1.48,"21 km NW of Grapevine, CA",-119.0885,35.0843333
1.76,"71 km W of Yachats, Oregon",-125.00133333333333,44.38316666666667
1.24,"20 km NW of Grapevine, CA",-119.0793333,35.0813333
1.73,"25 km NW of Grapevine, CA",-119.1245,35.104
1.38,"24 km E of Maricopa, CA",-119.1371667,35.0968333
1.8,"5 km SSW of Volcano, Hawaii",-155.252670288086,19.3938331604004
2.83,"9 km SSE of Pāhala, Hawaii",-155.456161499023,19.1231670379639
1.54,"3 km SSW of Pāhala, Hawaii",-155.4945,19.1801666666667
1.5,"5 km WSW of Four Mile Road, Alaska",-149.2184,64.5805
3.1,"218 km SE of Chiniak, Alaska",-149.8813,56.1551
1.88,"6 km SSW of Volcano, Hawaii",-155.255004882812,19.3834991455078
1.77999997,"7 km SSW of Volcano, Hawaii",-155.258331298828,19.3799991607666
2.48,"24 km NW of Grapevine, CA",-119.105,35.1038333
1.7,"93 km NW of Yakutat, Alaska",-141.0972,60.0228
1.71,"25 km E of Maricopa, CA",-119.13,35.1001667
1.5,"25 km ENE of Maricopa, CA",-119.1371667,35.106
1.41,"8 km SW of Chelan Falls, Washington",-120.0705,47.74816666666667
1.6400000000000001,"5 km WNW of Highland, Washington",-119.18733333333333,46.14683333333333
1.54,"25 km SW of Lamont, CA",-119.1283333,35.1183333
4.9,"110 km NE of Hihifo, Tonga",-173.0928,-15.22
1.2,"50 km SSE of Denali National Park, Alaska",-151.3368,63.1223
1.63,"24 km NW of Grapevine, CA",-119.1298333,35.0861667
1.81,"7 km SSE of Volcano, Hawaii",-155.218505859375,19.3759994506836
1.51,"21 km NW of Grapevine, CA",-119.0863333,35.0791667
4.7,Fiji region,-178.3006,-21.8156
1.42,"20 km NW of Grapevine, CA",-119.0801667,35.0801667
2.06,"23 km SW of Lamont, CA",-119.085,35.1085
1.93,"23 km NW of Grapevine, CA",-119.0846667,35.1041667
1.73,"20 km NW of Grapevine, CA",-119.0578333,35.0845
2.4,"163 km SE of Perryville, Alaska",-157.3672,54.8413
1.19,"34 km SSW of False Pass, Alaska",-163.531833333333,54.5543333333333
1.24,"15 km NW of Coso Junction, CA",-118.0546667,36.1441667
1.96,"24 km NW of Grapevine, CA",-119.1036667,35.1031667
1.82,"23 km NW of Grapevine, CA",-119.0871667,35.1036667
1.49,"25 km NW of Grapevine, CA",-119.1158333,35.1055
2.41,"24 km E of Maricopa, CA",-119.1453333,35.0953333
1.5,"35 km NW of Toyah, Texas",-104.025,31.568
3.3,"21 km NW of Grapevine, CA",-119.096,35.0798333
1.8,"21 km NNE of Pilot Point, Alaska",-157.3879,57.7231
1.5,"24 km NW of Grapevine, CA",-119.1225,35.0975
2.0,"24 km NW of Grapevine, CA",-119.1156667,35.1001667
